名称,PLC地址,数剧类型,功能
出灭菌线占位虚拟ID码,DB1000.DBW120-178,INT,"DBW120: 02026电机（出口链条机）                                                                                                                                                                DBW122: 02029电机（出口链条机）                                                                                                                                                               
DBW124: 02033电机（出口链条机）                                                                                                                                                               
DBW126: 02036电机（出口链条机）                                                                                                                                                               
DBW128: 03026电机（出口链条机）                                                                                                                                                               
DBW130: 03029电机（出口链条机）                                                                                                                                                               
DBW132: 03033电机（出口链条机）                                                                                                                                                               
DBW134: 03036电机（出口链条机）                                                                                                                                                               
DBW136: 04026电机（出口链条机）                                                                                                                                                               
DBW138: 04029电机（出口链条机）                                                                                                                                                               
DBW140: 04033电机（出口链条机）                                                                                                                                                               
DBW142: 04036电机（出口链条机）                                                                                                                                                               
DBW144: 05026电机（出口链条机）                                                                                                                                                               
DBW146: 05029电机（出口链条机）                                                                                                                                                               
DBW148: 05033电机（出口链条机）                                                                                                                                                               
DBW150: 05036电机（出口链条机）                                                                                                                                                               
DBW152: 06026电机（出口链条机）                                                                                                                                                               
DBW154: 06029电机（出口链条机）                                                                                                                                                               
DBW156: 06033电机（出口链条机）                                                                                                                                                               
DBW158：06036电机（出口链条机）                                                                                                                                                               
DBW160：07026电机（出口链条机）                                                                                                                                                               
DBW162: 07029电机（出口链条机）                                                                                                                                                               
DBW164：07033电机（出口链条机）                                                                                                                                                               
DBW166: 07036电机（出口链条机）                                                                                                                                                               
DBW168: 08026电机（出口链条机）                                                                                                                                                               
DBW170: 08029电机（出口链条机）                                                                                                                                                               
DBW172: 08033电机（出口链条机）                                                                                                                                                               
DBW174: 08036电机（出口链条机）                                                                                                                                                               
DBW176: 09015电机（出口链条机）                                                                                                                                                                                                                                                                                                                            
DBW178: 09018电机（出口链条机）                                                                                                                                                               "
进货错误停止信号,DB1000.DBW180,INT,判断预热房前面进货输送有托盘号且电机在运行。提示报警，1为报警，0为报警取消
选定电机编号5,"DB1001.DBW182
",INT,PDA2
选定电机编号6,"DB1001.DBW184
",INT,PDA2
选定电机编号7,"DB1001.DBW186
",INT,PDA2
选定电机编号8,"DB1001.DBW188
",INT,PDA2
电机前进,"DB1001.DBW44
",INT,PDA2按钮按下写1前进，松开按钮赋值为0
电机后退,"DB1001.DBW46
",INT,PDA2按钮按下写1前进，松开按钮赋值为0
顶升上升,"DB1001.DBW48
",INT,PDA2按钮按下写1前进，松开按钮赋值为0
顶升下降,"DB1001.DBW50
",INT,PDA2按钮按下写1前进，松开按钮赋值为0
小车左移,"DB1001.DBW52
",INT,PDA2按钮按下写1前进，松开按钮赋值为0
小车右移,"DB1001.DBW54
",INT,PDA2按钮按下写1前进，松开按钮赋值为0
手自动动切换,"DB1001.DBW34
",INT,PDA2当前选定电机编号:，写02：手动模式（一直写）
